fastenc(sendmsg) ENABLED hwnd=004402EE (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=2049 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2066 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2083 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2100 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2116 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2133 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2150 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2167 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2184 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2201 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2218 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2235 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2252 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2269 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2286 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2303 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2320 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2336 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2353 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2370 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2387 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2404 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2421 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2438 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2455 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2472 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2489 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2506 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2523 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) ENABLED hwnd=003A0388 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1 smto=0 res=0 battling=0 pos=(0,0) (1/tick)
fastenc(sendmsg) sent cnt=11 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=21 smto=1 res=0 battling=0 pos=(237,651) (1/tick)
fastenc(sendmsg) sent cnt=37 smto=1 res=0 battling=0 pos=(236,651) (1/tick)
fastenc(sendmsg) sent cnt=49 smto=1 res=0 battling=0 pos=(236,651) (1/tick)
fastenc(sendmsg) sent cnt=66 smto=1 res=0 battling=0 pos=(236,651) (1/tick)
fastenc(sendmsg) sent cnt=82 smto=1 res=0 battling=0 pos=(236,651) (1/tick)
fastenc(sendmsg) sent cnt=85 smto=1 res=0 battling=0 pos=(235,651) (1/tick)
fastenc(sendmsg) sent cnt=94 smto=1 res=0 battling=0 pos=(235,651) (1/tick)
fastenc(sendmsg) sent cnt=111 smto=1 res=0 battling=0 pos=(235,651) (1/tick)
fastenc(sendmsg) sent cnt=115 smto=1 res=0 battling=0 pos=(235,651) (1/tick)
fastenc(sendmsg) sent cnt=132 smto=1 res=0 battling=0 pos=(235,651) (1/tick)
